PSA_ID,total_n,total_data,total_outliers,prop
ARE_001,52,763,128,0.17
ARE_002,54,1191,127,0.11
AUS_091,160,3593,324,0.09
AUT_002,99,2272,226,0.1
AUT_005,108,2470,240,0.1
BRA_003,50,1128,101,0.09
CAN_020,98,2164,233,0.11
CHN_005,50,1088,101,0.09
CHN_019,31,666,64,0.1
COL_001,69,1531,143,0.09
DEU_020,26,601,60,0.1
ECU_001,58,1243,139,0.11
GBR_005,52,1147,123,0.11
GBR_006,25,553,50,0.09
GBR_014,50,1152,126,0.11
GBR_043,25,577,55,0.1
GRC_002,98,2105,180,0.09
HUN_001,129,2943,240,0.08
IND_003,79,1676,175,0.1
ISR_001,146,3350,313,0.09
MYS_003,47,1021,87,0.09
MYS_004,100,2243,202,0.09
NGA_001,52,1071,97,0.09
NOR_002,21,481,47,0.1
NOR_003,51,1167,101,0.09
NOR_004,72,1664,163,0.1
NZL_005,320,7111,744,0.1
POL_001,50,1139,103,0.09
POR_001,60,1371,135,0.1
PSA_001,41,926,78,0.08
PSA_002,64,1467,153,0.1
SRB_002,82,1860,182,0.1
SRB_002B,47,1048,97,0.09
SVK_001,91,2063,185,0.09
SVK_002,47,1059,104,0.1
THA_001,50,1078,98,0.09
TUR_007,84,1887,181,0.1
TUR_007E,8,137,5,0.04
TUR_023,79,1742,132,0.08
TUR_025,99,2234,199,0.09
TWN_001,60,1342,121,0.09
TWN_002,90,2015,178,0.09
TWN_002E,12,265,36,0.14
USA_011,63,1393,128,0.09
USA_020,49,1112,91,0.08
USA_030,27,609,63,0.1
USA_032,50,1128,129,0.11
USA_033,77,1755,172,0.1
USA_065,32,721,57,0.08
USA_173,32,690,85,0.12
